,Motion_Sensor1,Motion_Sensor2,Motion_Sensor3,Motion_Sensor4,Motion_Sensor5,Motion_Sensor6,Motion_Sensor7,Motion_Sensor8,Motion_Sensor9,Motion_Sensor10,Camera1,Camera2,Camera3,Camera4,robot1,robot2,door_sensor1,door_sensor2,door_sensor3,door_sensor4,door_sensor5,door_sensor6,door_sensor7,door_sensor8,door_sensor9,door_sensor10,door_sensor11,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,outside
0,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,1.0,1.0,2.0,"('r1', 0)","('r8', 0)",0,2,0,0,0,0,0,0,0,0,0,08:00:15,0,0,20,0,0,0,0,0,0,0,5,0,0,0
1,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,motion,no motion,1.0,3.0,1.0,1.0,"('r1', 0)","('r8', 0)",0,11,2,0,0,0,0,0,0,0,0,08:00:30,0,0,2,2,0,0,0,0,0,0,15,6,0,0
2,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,6.0,1.0,2.0,"('r1', 0)","('r7', 0)",0,1,6,1,0,0,2,0,0,0,0,08:00:45,0,0,0,6,1,0,0,0,0,4,5,6,3,0
3,motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,6.0,1.0,2.0,"('r2', 0)","('r8', 0)",0,0,1,1,1,0,2,0,1,0,0,08:01:00,0,0,0,6,1,1,3,0,0,8,1,2,3,0
4,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,8.0,1.0,6.0,"('r2', 1)","('r8', 0)",0,0,1,0,1,0,0,0,3,1,2,08:01:15,0,1,0,7,0,2,4,0,0,2,0,0,9,0
5,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,7.0,1.0,2.0,"('r2', 1)","('r7', 11)",0,0,0,0,0,0,0,0,4,0,0,08:01:30,1,1,0,7,0,2,11,0,0,1,0,0,2,0
6,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,1.0,2.0,"('c3', 1)","('c3', 1)",1,0,0,0,0,0,0,0,0,0,0,08:01:45,2,0,0,7,0,2,12,0,0,1,0,0,1,0
7,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,no motion,no motion,2.0,7.0,1.0,1.0,"('c3', 1)","('c3', 1)",0,0,0,0,0,0,0,0,1,0,1,08:02:00,2,0,0,7,0,2,11,0,0,2,0,0,1,0
8,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,1.0,2.0,"('c3', 2)","('r10', 1)",0,0,0,0,0,0,0,0,0,0,1,08:02:15,2,0,0,7,0,2,11,0,0,1,0,0,2,0
9,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,1.0,2.0,"('r7', 11)","('c3', 2)",0,0,0,0,0,0,0,0,0,0,0,08:02:30,2,0,0,7,0,2,11,0,0,1,0,0,2,0
10,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,1.0,4.0,"('r7', 9)","('c3', 5)",0,0,0,0,0,0,0,0,2,0,0,08:02:45,2,0,0,7,0,2,9,0,0,0,0,0,5,0
11,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,2.0,3.0,"('r7', 8)","('c2', 1)",0,0,0,0,0,0,0,0,1,0,1,08:03:00,2,0,0,7,0,2,8,0,0,1,0,1,4,0
12,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,2.0,7.0,2.0,3.0,"('c3', 5)","('r9', 0)",0,0,0,0,0,0,0,0,1,0,1,08:03:15,2,0,0,7,0,2,8,1,0,0,0,0,5,0
13,no motion,no motion,no motion,motion,no motion,no motion,no motion,motion,no motion,no motion,3.0,7.0,2.0,4.0,"('r10', 0)","('r9', 0)",0,0,0,0,0,0,0,0,1,0,0,08:03:30,2,0,0,7,0,2,7,1,0,0,0,0,6,0
14,no motion,no motion,no motion,motion,no motion,no motion,no motion,motion,no motion,no motion,3.0,7.0,2.0,4.0,"('c2', 0)","('c2', 0)",0,0,0,0,0,0,0,0,1,0,0,08:03:45,2,0,0,7,0,2,8,1,0,0,0,0,5,0
15,no motion,no motion,no motion,motion,no motion,no motion,no motion,motion,no motion,no motion,3.0,7.0,2.0,4.0,"('r9', 0)","('c1', 0)",0,0,0,0,0,0,0,0,1,0,0,08:04:00,2,0,0,7,0,2,7,1,0,0,0,0,6,0
16,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,2.0,3.0,"('c2', 0)","('c1', 0)",0,0,0,0,0,0,0,0,1,0,3,08:04:15,2,0,0,7,0,2,7,1,0,3,0,0,3,0
17,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,2.0,2.0,"('c3', 1)","('r4', 7)",0,0,0,0,0,0,0,0,0,1,2,08:04:30,2,1,0,7,0,2,7,1,0,4,0,0,1,0
18,no motion,no motion,no motion,motion,no motion,no motion,no motion,motion,no motion,no motion,3.0,7.0,2.0,2.0,"('r2', 1)","('r5', 0)",0,0,0,0,0,0,1,0,0,0,1,08:04:45,2,1,0,7,0,2,7,1,0,2,0,1,2,0
19,no motion,no motion,motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,1.0,3.0,"('r2', 1)","('r4', 7)",0,0,0,0,0,0,0,1,0,0,1,08:05:00,2,1,0,7,0,2,8,0,0,0,0,2,3,0
20,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,1.0,3.0,"('c3', 4)","('r4', 7)",0,0,0,0,0,1,1,0,1,0,0,08:05:15,2,1,0,7,0,2,7,0,1,1,0,0,4,0
21,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,3.0,2.0,"('r7', 6)","('c1', 0)",0,0,0,0,0,0,0,0,0,1,2,08:05:30,2,1,0,7,0,2,6,1,1,2,0,1,2,0
22,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,7.0,2.0,1.0,"('r7', 7)","('r3', 0)",0,0,0,0,0,0,0,2,1,0,1,08:05:45,2,1,0,7,0,2,7,1,1,3,0,1,0,0
23,no motion,no motion,motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,5.0,1.0,1.0,"('c3', 0)","('r3', 0)",0,0,2,0,0,0,0,1,0,0,0,08:06:00,2,1,0,5,0,2,8,0,1,3,2,1,0,0
24,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,5.0,1.0,2.0,"('c2', 3)","('c1', 0)",0,0,0,0,0,0,0,0,2,0,2,08:06:15,2,1,0,5,0,2,6,0,1,3,0,3,2,0
25,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,5.0,1.0,4.0,"('c1', 0)","('r3', 0)",0,0,0,0,0,0,0,0,1,0,0,08:06:30,2,1,0,5,0,2,5,0,1,3,0,1,5,0
26,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,6.0,1.0,2.0,"('c1', 0)","('r3', 0)",0,0,0,0,0,0,1,0,1,0,1,08:06:45,2,1,0,5,0,2,6,0,1,5,0,1,2,0
27,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,6.0,0.0,2.0,"('c1', 0)","('c1', 0)",0,0,0,0,0,0,0,0,2,0,0,08:07:00,3,0,0,5,0,2,5,0,1,5,0,1,3,0
28,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,6.0,1.0,2.0,"('r4', 5)","('c1', 1)",0,0,0,0,0,0,0,0,1,0,0,08:07:15,3,0,0,5,0,2,5,0,1,5,1,0,3,0
29,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,5.0,1.0,4.0,"('c1', 0)","('r4', 5)",1,1,0,0,0,0,0,0,1,0,0,08:07:30,2,1,1,5,0,2,4,0,1,5,0,0,4,0
30,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,5.0,1.0,2.0,"('r3', 1)","('c1', 0)",0,0,0,0,0,0,0,0,0,1,1,08:07:45,2,0,1,5,0,2,4,0,1,6,0,0,4,0
31,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,no motion,no motion,3.0,5.0,1.0,2.0,"('c1', 0)","('c1', 0)",0,0,0,0,0,0,0,0,0,0,2,08:08:00,2,0,1,5,0,2,4,0,1,8,0,0,2,0
32,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,6.0,1.0,3.0,"('r4', 5)","('c2', 0)",0,0,0,0,0,0,0,0,0,0,0,08:08:15,2,0,1,5,0,2,4,0,1,7,0,0,3,0
33,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,5.0,1.0,2.0,"('r5', 0)","('c1', 0)",0,0,0,0,0,0,0,0,1,0,0,08:08:30,2,0,1,5,0,2,5,0,1,7,0,0,2,0
34,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,4.0,1.0,3.0,"('r6', 2)","('r3', 1)",0,0,1,0,0,0,0,0,4,0,0,08:08:45,2,0,1,4,0,2,3,0,1,7,1,0,4,0
35,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,5.0,1.0,5.0,"('r6', 2)","('c1', 0)",0,0,0,0,0,0,0,0,0,0,0,08:09:00,2,0,1,4,0,2,3,0,1,5,0,0,7,0
36,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,4.0,1.0,5.0,"('r5', 0)","('c1', 0)",0,0,0,0,0,0,0,0,2,0,4,08:09:15,2,0,1,4,0,2,3,0,1,5,0,0,7,0
37,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,5.0,1.0,5.0,"('r5', 0)","('c2', 1)",0,0,0,0,0,0,0,0,2,0,2,08:09:30,2,0,1,4,0,2,3,0,1,3,0,1,8,0
